folder,name,data,dirty,daylight,night,sunrisesunset,dawndusk,sunny,clouds,fog,storm,snow,warm,cold,busy,beautiful,flowers,spring,summer,autumn,winter,glowing,colorful,dull,rugged,midday,dark,bright,dry,moist,windy,rain,ice,cluttered,soothing,stressful,exciting,sentimental,mysterious,boring,gloomy,lush
00000064,00000064/141.jpg,"[[[120 145 186]
  [120 145 186]
  [120 145 186]
  ...
  [  1   0   0]
  [  1   0   0]
  [  0   0   2]]

 [[120 145 186]
  [120 145 186]
  [120 145 186]
  ...
  [  1   0   0]
  [  1   0   0]
  [  0   0   2]]

 [[120 145 186]
  [120 145 186]
  [120 145 186]
  ...
  [  1   0   0]
  [  1   0   0]
  [  0   0   2]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[166 166 168]
  [166 166 168]
  [166 166 166]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   2]
  [  0   0   2]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]]","0.087876,7","0.90404,6","0.038267,6","0.046497,5","0.11855,6","1,5","0.025332,5","0.019698,6","0.023172,6","0.20415,6","0.56567,5","0.045424,6","0.24538,6","0.15392,7","0.15788,6","0.020263,5","0.53887,7","0.26193,7","0.13145,6","0.25212,6","0.31829,6","0.52479,5","0.96514,6","0.30905,5","0.04014,5","0.42963,5","0.85674,5","0.040968,6","0.088212,5","0.032192,5","0.02254,5","0.52926,7","0.38358,7","0.14247,5","0.057863,6","0.025097,6","0.095998,7","0.24959,6","0.18085,8","0.28212,6"
00000090,00000090/188.jpg,"[[[ 92 127 185]
  [ 96 128 187]
  [ 97 129 188]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[ 98 130 189]
  [ 98 130 189]
  [ 98 130 189]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[ 97 129 188]
  [ 97 129 188]
  [ 98 130 189]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[146 109  90]
  [162 127 107]
  [156 126 102]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[131  99  74]
  [169 135 108]
  [168 139 105]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[120  95  65]
  [154 125  95]
  [168 140 100]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]]","0.21011,6","1,6","0.1541,7","0.088234,6","0.15905,7","1,6","0.64373,6","0.031248,6","0.028814,5","0.023285,5","0.77605,7","0.015497,6","0.49475,8","0.55229,6","0.0131,7","0.27955,6","0.62502,6","0.25721,6","0.064114,6","0.54759,7","0.55327,6","0.038267,6","0.14069,6","0.89425,6","0.012181,6","1,5","0.93426,7","0.031478,5","0.58269,6","0.058714,6","0,5","0.9292,5","0.25922,6","0.058799,6","0.32842,6","0.23008,6","0.1239,6","0.054612,5","0.15082,5","0.19851,5"
00000162,00000162/156.jpg,"[[[ 73  96 128]
  [ 78  99 130]
  [ 83 102 134]
  ...
  [133 172 229]
  [133 172 229]
  [133 172 229]]

 [[ 72  95 127]
  [ 77  98 129]
  [ 81 100 132]
  ...
  [133 172 229]
  [133 172 229]
  [133 172 229]]

 [[ 75  96 127]
  [ 78  99 130]
  [ 81 102 133]
  ...
  [134 173 230]
  [134 173 230]
  [134 173 230]]

 ...

 [[ 93  82  80]
  [ 91  77  76]
  [ 87  73  73]
  ...
  [217 152 110]
  [217 153 109]
  [217 152 110]]

 [[ 90  81  84]
  [ 90  81  86]
  [ 91  80  86]
  ...
  [228 169 125]
  [229 172 127]
  [229 172 127]]

 [[ 84  77  85]
  [ 88  81  88]
  [ 93  83  91]
  ...
  [232 178 132]
  [230 176 130]
  [228 174 128]]]","0.44633,6","1,5","0.11296,5","0.14248,6","0.045674,6","1,5","0.52673,5","0.13742,5","0.11633,7","0.6855,5","0.78874,7","0.25961,5","0.48531,6","0.42172,7","0.021606,5","0.8225,5","0.46873,6","0.23915,6","0.32018,6","0.92775,6","0.13631,6","0.70546,5","0.1365,5","1,5","0.014681,6","0.69912,5","0.40068,5","0.18416,7","0.38503,8","0.035122,6","0,6","0.60047,6","0.43513,5","0.034934,6","0.2244,5","0.058319,5","0.025068,6","0.30608,5","0.09069,7","0.28793,5"
00000260,00000260/91.jpg,"[[[128 177 253]
  [126 175 251]
  [127 176 252]
  ...
  [125 179 251]
  [122 176 248]
  [121 175 247]]

 [[133 182 255]
  [129 178 254]
  [128 177 253]
  ...
  [125 179 251]
  [126 180 252]
  [125 179 251]]

 [[129 178 254]
  [128 177 253]
  [128 177 253]
  ...
  [124 178 250]
  [124 178 250]
  [124 178 250]]

 ...

 [[ 57  63  63]
  [ 57  62  65]
  [ 57  62  65]
  ...
  [116  94  73]
  [120  98  77]
  [123  98  78]]

 [[ 64  73  72]
  [ 64  69  72]
  [ 65  70  73]
  ...
  [119  92  71]
  [117  91  68]
  [116  90  67]]

 [[ 69  74  80]
  [ 68  71  80]
  [ 70  70  80]
  ...
  [ 90  59  38]
  [113  83  59]
  [119  91  67]]]","0.50917,5","1,6","0.023682,6","0.12957,6","0.040551,6","0.57799,5","0.12775,6","0.0056467,5","0.00063136,6","0.040773,5","0.62934,6","0.045039,6","0.39458,5","0.37943,7","0.30703,6","0.54199,6","0.71807,5","0.80265,6","0.010212,5","0.52691,7","0.55001,6","0.41927,7","0.87694,5","0.75768,6","0.0094869,7","0.46371,6","0.59064,6","0.019637,6","0.15783,5","0.036873,6","0.021619,6","0.75434,7","0.54448,5","0.042927,6","0.15294,5","0.14134,5","0.028935,6","0.43187,5","0.051587,5","0.040508,6"
00000270,00000270/117.jpg,"[[[140 173 240]
  [140 173 240]
  [140 173 240]
  ...
  [130 172 255]
  [130 172 255]
  [130 172 255]]

 [[140 173 240]
  [140 173 240]
  [140 173 240]
  ...
  [130 172 255]
  [130 172 255]
  [130 172 255]]

 [[140 173 240]
  [140 173 240]
  [140 173 240]
  ...
  [130 172 255]
  [130 172 255]
  [130 172 255]]

 ...

 [[ 40  22  22]
  [ 40  22  22]
  [ 40  22  22]
  ...
  [101  92  61]
  [100  91  60]
  [101  92  61]]

 [[ 40  21  23]
  [ 40  22  22]
  [ 40  22  22]
  ...
  [100  91  60]
  [100  91  60]
  [100  91  60]]

 [[ 40  21  23]
  [ 40  21  23]
  [ 40  22  22]
  ...
  [ 99  90  59]
  [ 99  90  61]
  [ 99  90  59]]]","0.3411,5","1,6","0.013454,5","0.0095764,6","0.043683,6","0.89587,6","0.053244,6","0.1521,5","0.048152,6","0.021559,6","0.70849,5","0.017766,5","0.38676,5","0.3693,5","0.48358,7","0.41134,6","0.86783,7","0.69121,6","0.019057,5","0.34649,5","0.49076,6","0.23704,7","0.053278,6","0.72389,7","0.013988,5","0.72375,6","0.93909,5","0.20027,8","0.053125,7","0.01519,6","0.018892,5","0.59629,5","0.30724,6","0.036015,7","0.20583,5","0.13547,6","0.19395,6","0.2279,6","0.023826,7","0.72241,5"
00000325,00000325/86.jpg,"[[[133 181 255]
  [133 181 253]
  [133 182 251]
  ...
  [126 163 208]
  [  4  16  28]
  [  3   0   0]]

 [[134 182 254]
  [134 182 254]
  [134 182 254]
  ...
  [125 162 207]
  [  4  16  30]
  [  3   0   0]]

 [[133 181 253]
  [133 181 253]
  [134 181 253]
  ...
  [124 161 206]
  [  4  16  30]
  [  3   0   0]]

 ...

 [[ 83  83  59]
  [ 83  81  58]
  [ 81  79  56]
  ...
  [105  60  55]
  [ 17   3   0]
  [  0   2   2]]

 [[ 50  50  38]
  [ 51  49  37]
  [ 49  47  34]
  ...
  [ 58  40  40]
  [  8   2   2]
  [  0   1   0]]

 [[  1   0   0]
  [  1   0   0]
  [  1   0   0]
  ...
  [  0   2   2]
  [  0   0   2]
  [  0   0   0]]]","0.053442,5","1,5","0.038373,5","0.0055764,6","0.024703,5","1,5","0.14601,6","0.038856,5","0.036512,6","0,5","1,6","0.27,6","0.37113,6","0.496,6","0.51329,6","0.62525,6","1,6","0.84107,5","0.010212,5","0.64242,6","0.77819,6","0.036134,5","0.017226,6","0.73684,7","0.012636,5","0.7324,7","1,5","0.023553,7","0.051857,7","0.025716,7","0.040965,6","0.52384,6","0.2414,7","0.12334,7","0.16443,6","0.17627,5","0.038595,6","0.37618,6","0.054718,5","0.60406,5"
00000384,00000384/106.jpg,"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]]","0.011435,6","1,6","0.029052,6","0.12965,7","0.023391,6","1,7","0.02892,5","0.042532,7","0.025811,6","0.011107,5","0.51957,6","0.03526,5","0.45727,5","0.67083,6","0.30501,6","0.57393,6","0.48686,5","0.52723,6","0.15426,6","0.42058,7","0.52657,6","0.37984,7","1,6","0.63952,6","0.042356,5","0.75925,6","0.31164,7","0.71005,5","0.34778,6","0.023353,6","0.01567,5","0.40351,6","0.02644,5","0.15828,6","0.15735,5","0.067711,7","0.26965,6","0.034364,5","0.060741,6","0.11293,6"
00000398,00000398/296.jpg,"[[[128 164 216]
  [127 163 215]
  [127 163 215]
  ...
  [156 172 198]
  [156 174 198]
  [155 173 197]]

 [[128 164 216]
  [128 164 216]
  [128 164 216]
  ...
  [155 171 196]
  [154 172 196]
  [154 172 196]]

 [[129 165 217]
  [129 165 217]
  [129 165 217]
  ...
  [155 171 197]
  [154 170 195]
  [154 170 195]]

 ...

 [[ 84  63  60]
  [ 80  60  59]
  [ 79  59  58]
  ...
  [ 56  46  44]
  [ 54  46  43]
  [ 55  45  43]]

 [[ 50  39  37]
  [ 48  36  36]
  [ 47  35  35]
  ...
  [ 34  28  28]
  [ 32  28  27]
  [ 33  27  27]]

 [[  3   0   0]
  [  3   0   0]
  [  3   0   0]
  ...
  [  1   0   0]
  [  0   0   0]
  [  0   0   0]]]","0.17691,6","1,5","0.014002,6","0.40349,6","0.33161,4","0.33525,7","0.44848,7","0.034821,6","0.036591,5","0.013318,7","0.60647,7","0.098074,7","0.038769,6","0.4414,5","0.12644,5","0.51721,7","0.21402,5","0.76068,6","0.015123,5","0.61114,5","0.54794,7","0.011428,5","1,6","0.24992,7","0.0094003,6","0.68473,5","0.62934,6","0.10403,6","0.058666,6","0.02877,6","0.021987,5","0.53922,5","0.38675,7","0.1226,7","0.39174,5","0.17667,6","0.29432,6","0.11348,5","0.061871,5","0.037039,6"
00000441,00000441/124.jpg,"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [149 148 146]
  [149 148 146]
  [148 148 146]]

 [[  1   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [149 149 147]
  [149 149 147]
  [149 149 147]]

 [[  1   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [149 149 147]
  [148 150 147]
  [148 150 147]]

 ...

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [116 109 103]
  [116 109 103]
  [116 109 103]]

 [[  0   0   0]
  [  0   0   0]
  [  1   1   1]
  ...
  [116 109 103]
  [115 108 102]
  [114 107 101]]

 [[  1   0   0]
  [  1   0   0]
  [  1   0   0]
  ...
  [114 107 101]
  [113 106 100]
  [112 105  99]]]","0.42329,5","1,5","0.019242,5","0.046497,5","0.048314,6","0.46856,7","0.84024,5","0.25132,5","0.29552,7","0.048609,5","0.13388,7","0.040773,5","0.017822,5","0.31107,5","0.12393,5","0.033608,5","0.40031,6","0.47556,7","0.044556,6","0.19213,6","0.21712,6","0.22494,6","0.23528,6","0.056411,5","0.099892,7","0.47165,5","0.95835,5","0.27326,6","0.22794,6","0.44441,5","0.038055,5","0.112,6","0.46438,6","0.29615,5","0.18303,8","0.55216,6","0.069461,7","0.019642,8","0.10765,7","0.21472,5"
00000536,00000536/225.jpg,"[[[139 164 205]
  [139 164 205]
  [139 164 205]
  ...
  [  0   0   7]
  [  0   0   0]
  [  0   0   0]]

 [[139 164 205]
  [139 164 205]
  [139 164 205]
  ...
  [  0   0   7]
  [  0   0   2]
  [  0   0   0]]

 [[139 164 205]
  [139 164 205]
  [139 164 205]
  ...
  [  0   0   7]
  [  0   0   2]
  [  0   0   0]]

 ...

 [[234 193 165]
  [233 192 164]
  [231 192 163]
  ...
  [  4   0   0]
  [  1   0   0]
  [  0   0   0]]

 [[232 191 163]
  [232 191 163]
  [231 192 163]
  ...
  [  4   0   0]
  [  1   0   0]
  [  0   0   0]]

 [[229 188 160]
  [229 188 160]
  [228 189 160]
  ...
  [  4   0   0]
  [  1   0   0]
  [  0   0   2]]]","0.12418,6","1,7","0.0232,6","0.11541,7","0.14832,5","0.83197,5","0.29134,6","0.10779,5","0.10303,7","0.025522,6","0.45626,6","0.048844,6","0.65119,6","0.70237,5","0.12096,5","0.21883,7","0.83907,7","0.86024,5","0.030991,5","0.24082,8","0.055239,5","0.12906,5","0.35863,7","0.84913,6","0.063369,6","0.79195,5","1,6","0.031266,6","0.19065,6","0,6","0.057064,6","0.393,6","0.25555,5","0.070721,7","0.26176,6","0.22702,6","0.014845,5","0.44401,7","0.0036765,7","0.17767,5"
