folder,name,data,dirty,daylight,night,sunrisesunset,dawndusk,sunny,clouds,fog,storm,snow,warm,cold,busy,beautiful,flowers,spring,summer,autumn,winter,glowing,colorful,dull,rugged,midday,dark,bright,dry,moist,windy,rain,ice,cluttered,soothing,stressful,exciting,sentimental,mysterious,boring,gloomy,lush
00000064,00000064/52.jpg,"[[[122 133 153]
  [118 129 149]
  [114 122 141]
  ...
  [  0   0   5]
  [  0   0   0]
  [  0   0   0]]

 [[106 117 137]
  [115 123 142]
  [123 130 149]
  ...
  [  0   0   5]
  [  0   0   2]
  [  0   0   0]]

 [[116 124 143]
  [127 134 153]
  [125 130 150]
  ...
  [  0   0   5]
  [  0   0   2]
  [  0   0   0]]

 ...

 [[ 36  37  42]
  [ 36  37  41]
  [ 36  40  41]
  ...
  [  3   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  1   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  1   0   0]
  [  1   0   0]
  [  2   0   1]
  ...
  [  0   0   2]
  [  0   0   0]
  [  0   0   0]]]","0.2635,7","0.024228,6","0.98563,6","0.16486,5","0.55115,6","0.043308,5","0.025332,5","0.019698,6","0.023172,6","0.023848,6","0.11125,4","0.045424,6","0.34645,6","0.025618,7","0.019473,6","0.094108,5","0.21505,6","0.096431,7","0.20152,5","0.7273,6","0.19623,6","0.58503,5","0.96514,6","0.046461,5","0.91594,5","0.2715,5","0.1318,5","0.49591,6","0.14002,5","0.22765,5","0.02254,5","0.56672,7","0.20413,7","0.01364,5","0.057863,6","0.11912,6","0.22251,7","0.39971,6","0.25683,8","0.047206,6"
00000090,00000090/6.jpg,"[[[151 177 192]
  [152 175 193]
  [149 171 192]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[183 209 226]
  [182 209 230]
  [180 204 228]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[201 228 249]
  [200 228 250]
  [199 226 253]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[ 63  27  15]
  [ 63  29  17]
  [ 64  32  21]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[ 59  27  16]
  [ 64  32  21]
  [ 62  32  21]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[ 48  21  12]
  [ 46  19  10]
  [ 48  21  12]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]]","0.23828,6","0.24387,6","1,7","0.42557,6","0.30534,7","0.016391,6","0.90645,6","0.031248,6","0.14331,5","0.023285,5","0.06753,7","0.16861,6","0.81845,8","0.57521,6","0.0131,7","0.023719,6","0.035262,6","0.050569,6","0.064114,6","0.50948,7","0.34027,6","0.54687,6","0.0168,6","0.027748,6","0.58671,6","0.51275,5","0.38976,7","0.20365,5","0.65543,5","0.058714,6","0,5","0.9292,5","0.032815,6","0.85881,6","0.21875,6","0.053484,6","0.1239,6","0.29615,5","0.61165,5","0.10277,5"
00000162,00000162/8.jpg,"[[[ 16  35  91]
  [ 31  47 106]
  [ 35  54 113]
  ...
  [ 34  78 177]
  [ 37  81 180]
  [ 39  83 182]]

 [[ 42  61 119]
  [ 44  63 122]
  [ 41  59 123]
  ...
  [ 41  85 184]
  [ 40  84 183]
  [ 38  82 181]]

 [[ 40  58 122]
  [ 37  56 122]
  [ 41  61 130]
  ...
  [ 34  78 177]
  [ 43  87 184]
  [ 48  92 189]]

 ...

 [[ 51  52  72]
  [ 56  54  75]
  [ 54  52  73]
  ...
  [ 61  67  91]
  [ 54  59  79]
  [ 50  55  75]]

 [[ 52  50  72]
  [ 60  58  80]
  [ 54  52  74]
  ...
  [ 53  57  84]
  [ 55  60  82]
  [ 59  64  86]]

 [[ 57  53  78]
  [ 57  55  77]
  [ 54  55  76]
  ...
  [ 59  61  86]
  [ 73  75  98]
  [ 79  81 104]]]","0.27285,6","0.018555,5","1,5","0.033356,6","0.24249,6","0.019972,5","0.034218,4","0.030991,5","0.30268,7","0.029818,5","0.011568,7","0.18945,5","0.38605,6","0.37336,7","0.021606,5","0.20463,5","0.028605,5","0.17423,5","0.23554,6","0.54458,6","0.55893,6","0.82993,5","0.1365,5","0.02367,5","0.78879,6","0.40797,5","0.36851,4","0.12507,7","0.38503,8","0.035122,6","0,6","0.66816,6","0.46514,5","0.15979,6","0.63549,5","0.3545,5","0.38648,6","0.35747,5","0.26756,7","0.11277,5"
00000260,00000260/80.jpg,"[[[ 0  0  0]
  [ 0  0  2]
  [ 1  0  4]
  ...
  [28 46 66]
  [26 47 64]
  [26 47 64]]

 [[ 0  0  0]
  [ 0  0  2]
  [ 0  0  2]
  ...
  [29 50 71]
  [28 49 68]
  [28 49 68]]

 [[ 0  0  0]
  [ 0  0  2]
  [ 0  0  2]
  ...
  [32 53 74]
  [31 52 73]
  [31 52 73]]

 ...

 [[ 0  0  2]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [28 29 24]
  [32 31 29]
  [31 31 31]]

 [[ 0  0  2]
  [ 1  0  0]
  [ 1  0  0]
  ...
  [28 29 24]
  [30 30 28]
  [29 29 31]]

 [[ 0  0  2]
  [ 1  0  0]
  [ 1  0  0]
  ...
  [27 29 24]
  [28 30 29]
  [28 29 33]]]","0.84045,4","0.028649,6","1,6","0.21328,6","0.40312,6","0,5","0.3572,6","0.0056467,5","0.13334,6","0.040773,5","0.036684,6","0.26644,6","0.40388,5","0.44862,7","0.095237,6","0.037827,5","0,4","0.16895,6","0.010212,5","0.44993,7","0.35788,6","0.88615,7","0.87,5","0.0075002,6","1,7","0.40063,6","0.32374,6","0.019637,6","0.021246,5","0.30624,5","0.021619,6","0.73891,7","0.24537,5","0.49838,6","0.38054,5","0.33313,5","0.028935,6","0.64503,5","0.83197,5","0.040508,6"
00000270,00000270/49.jpg,"[[[41 56 75]
  [40 55 74]
  [39 54 75]
  ...
  [30 51 70]
  [31 52 71]
  [31 52 71]]

 [[40 55 74]
  [39 54 73]
  [39 54 75]
  ...
  [31 53 67]
  [32 54 68]
  [32 54 68]]

 [[40 55 74]
  [39 54 73]
  [39 54 73]
  ...
  [32 54 65]
  [32 54 65]
  [32 54 65]]

 ...

 [[29 23 25]
  [29 23 25]
  [31 22 25]
  ...
  [27 18 21]
  [25 16 19]
  [25 16 19]]

 [[33 27 29]
  [33 27 29]
  [33 27 29]
  ...
  [26 17 20]
  [26 17 20]
  [26 17 20]]

 [[29 25 26]
  [30 24 26]
  [30 24 26]
  ...
  [26 17 20]
  [27 18 21]
  [27 18 21]]]","0.3411,5","0.053278,6","1,5","0.88608,6","0.70419,6","0.022957,6","0.3512,5","0.20874,5","0.048152,6","0.021559,6","0.042876,5","0.017766,5","0.13586,5","0.2517,5","0.041031,7","0.043719,5","0.03241,7","0.049902,6","0.019057,5","0.38588,5","0.20425,6","1,7","0.3054,6","0.028078,7","1,5","0.034184,6","0.32482,5","0.22187,8","0.053125,7","0.17034,6","0.018892,5","0.47862,5","0.14168,6","0.80832,7","0.26217,5","0.20503,6","0.2564,6","0.64476,6","0.57382,7","0.0094902,5"
00000325,00000325/1.jpg,"[[[ 69 109 144]
  [ 74 112 148]
  [ 81 117 151]
  ...
  [ 71 113 137]
  [ 86 131 152]
  [ 89 134 155]]

 [[ 72 111 150]
  [ 76 114 153]
  [ 80 115 153]
  ...
  [ 80 119 148]
  [ 89 131 156]
  [ 89 133 160]]

 [[ 76 115 158]
  [ 77 114 156]
  [ 79 114 156]
  ...
  [ 86 124 160]
  [ 83 124 156]
  [ 83 123 158]]

 ...

 [[202 145 102]
  [202 145 100]
  [197 143  97]
  ...
  [241 172 115]
  [254 189 133]
  [254 192 135]]

 [[194 142  94]
  [194 142  94]
  [192 141  94]
  ...
  [246 180 120]
  [242 180 121]
  [242 180 121]]

 [[207 157 104]
  [196 144  94]
  [179 128  83]
  ...
  [226 161  95]
  [206 145  78]
  [203 142  77]]]","0.42085,5","0.0097477,5","1,5","0.05199,6","0.56795,5","0.048285,5","0.34714,4","0.24868,5","0.036512,6","0,5","0.17273,6","0.30371,6","0.54007,6","0.60874,6","0.0092844,6","0.17818,6","0.035007,6","0.33745,5","0.49348,5","0.80095,6","0.39762,6","0.56451,5","0.017226,6","0.037559,7","0.86103,5","1,7","0.47584,5","0.012604,6","0.096436,7","0.025716,7","0.040965,6","0.75218,6","0.36591,7","0.25087,7","0.81142,6","0.42819,5","0.038595,6","0.50392,6","0.36413,5","0.048831,5"
00000384,00000384/30.jpg,"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]]","0.53083,6","0.054768,6","1,6","0.36943,7","0.59302,6","0.024795,7","0.029642,4","0.20931,7","0.11841,6","0.01371,4","0.056105,6","0.33171,5","0.27136,5","0.33354,6","0.044944,6","0.067536,6","0.18334,5","0.16458,6","0.0029691,6","0.14244,7","0.046406,6","0.97158,6","1,6","0.057486,6","0.98338,5","0.4785,6","0.063897,7","0.71005,5","0.54952,6","0.2549,5","0.01567,5","0.54048,6","0.37422,5","0.57798,6","0.26314,5","0.14993,7","0.046406,6","0.5509,5","0.63313,6","0.0083167,6"
00000398,00000398/7.jpg,"[[[ 0  0  4]
  [ 0  0  5]
  [ 0  0  5]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 1  0  0]
  [ 3  0  0]
  [ 3  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 1  0  0]
  [ 3  0  0]
  [ 3  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 ...

 [[36 40 65]
  [40 41 69]
  [34 33 64]
  ...
  [26 21 41]
  [ 0  0  5]
  [ 0  1  0]]

 [[36 41 70]
  [36 39 70]
  [32 33 64]
  ...
  [27 20 38]
  [ 0  0  4]
  [ 0  1  0]]

 [[32 38 70]
  [26 31 63]
  [28 28 62]
  ...
  [32 23 42]
  [ 1  0  4]
  [ 0  0  0]]]","0.25724,6","0.00057457,5","1,6","0.35183,6","0.66174,5","0.012777,7","0.92884,7","0.034821,6","0.028167,3","0.013318,7","0.01278,7","0.35764,7","0.038769,6","0.20485,5","0.12644,5","0.054014,6","0.21402,5","0.39049,5","0.16343,5","0.21052,5","0.10844,7","0.80363,5","0.85419,6","0.012609,7","0.89413,6","0.030991,5","0.24109,6","0.1912,6","0.057477,5","0.32202,6","0.013768,4","0.46105,5","0.27953,7","0.91555,7","0.31593,5","0.31784,6","0.074712,6","0.60038,5","0.61499,5","0.037039,6"
00000441,00000441/29.jpg,"[[[ 0 40 52]
  [ 2 40 53]
  [ 7 43 59]
  ...
  [10 63 81]
  [ 9 62 78]
  [11 62 79]]

 [[ 2 40 53]
  [ 0 37 53]
  [ 4 39 58]
  ...
  [11 64 82]
  [13 64 81]
  [17 66 83]]

 [[ 2 40 53]
  [ 1 37 53]
  [ 2 37 56]
  ...
  [13 64 83]
  [15 64 81]
  [19 66 84]]

 ...

 [[ 1  1  1]
  [ 0  0  0]
  [ 7  8  2]
  ...
  [58 34  8]
  [47 29  7]
  [34 17  0]]

 [[ 0  1  0]
  [ 0  1  0]
  [ 6  8  3]
  ...
  [60 40 16]
  [48 31 13]
  [31 15  0]]

 [[ 0  0  0]
  [ 0  2  1]
  [ 2  4  1]
  ...
  [39 21  1]
  [33 17  2]
  [21  7  0]]]","0.38399,5","0.0040599,5","1,5","0.046497,5","0.048314,6","0.03326,7","0.78028,4","0.13943,5","0.24312,6","0.048609,5","0.029868,7","0.31521,5","0.70974,5","0.25025,5","0.12904,5","0.033608,5","0.19953,6","0.3241,7","0.044556,6","0.72249,6","0.23414,6","0.60855,6","0.37161,6","0.056411,5","1,7","0,4","0.60579,5","0.063176,5","0.17453,6","0.2334,5","0.038055,5","0.59652,5","0.18068,6","0.83941,5","0.23141,8","0.017847,6","0.56823,7","0.26553,8","0.44471,7","0.073231,5"
00000536,00000536/16.jpg,"[[[  0   0   7]
  [  0   0   7]
  [  0   0   7]
  ...
  [  0   0   5]
  [  0   0   0]
  [  0   0   0]]

 [[ 21  23  44]
  [ 21  23  44]
  [ 21  23  44]
  ...
  [ 20  27  45]
  [  0   3   8]
  [  0   0   0]]

 [[ 33  39  75]
  [ 33  39  75]
  [ 34  40  76]
  ...
  [ 31  44  76]
  [  0   4  13]
  [  1   0   0]]

 ...

 [[140 143 134]
  [143 146 139]
  [145 148 141]
  ...
  [ 55  55  63]
  [  4   5   7]
  [  0   0   0]]

 [[143 146 139]
  [147 150 143]
  [150 153 146]
  ...
  [ 53  53  61]
  [  4   5   9]
  [  0   0   0]]

 [[141 143 138]
  [143 146 139]
  [145 148 141]
  ...
  [ 52  52  60]
  [  5   6  10]
  [  0   0   0]]]","0.079307,6","0.046392,7","0.88239,6","0.023202,7","0.16214,5","0.051587,5","0.53995,5","0.13259,5","0.14391,7","0.025522,6","0.04376,6","0.13649,6","0.12222,6","0.71311,5","0.12096,5","0.058602,7","0.14621,7","0.044189,5","0.030991,5","0.62109,8","0.34575,6","0.71244,4","0.35863,7","0.031961,6","0.73167,6","0.46915,5","0.64422,6","0.30616,6","0.088575,6","0,6","0.057064,6","0.393,6","0.13525,5","0.39379,7","0.30953,6","0.39481,6","0.40002,5","0.53359,7","0.25389,7","0.33041,5"
